9500	583629101	520379305	6887488	62571585
9600	910093053	651534345	6900672	675583896
9700	824947194	557603231	7091456	761872316
9800	163188977	558391106	7178705	247953957
9900	270208576	580946417	7202481	47986652
10000	907118914	591122696	9443757	248513060
10100	847842371	999422167	7421335	407547043
10200	502137522	611729275	7463956	951091774
10300	365887669	679958628	9590217	691923728
10400	666515239	277618633	7489015	404498667
10500	662811599	253945250	7416412	120250507
10600	412842338	885490170	7722826	945302839
10700	273482582	709090954	7951276	650593073
10800	402717225	790481590	10029043	392685313
10900	485752379	929715342	7975112	632263413
11000	817914687	826474379	8098428	140941464
11100	361531180	388312654	8109624	385641329
11200	864803310	794458365	8509303	175245072
11300	325848595	913941436	8316644	749892691
11400	596807871	160445953	8505726	712594364
11500	162389324	912925995	8510856	658090200
11600	927568098	234563928	8474139	341669451
11700	758444329	950964270	10919626	501485449
11800	75073293	28696188	8621405	157610809
11900	116240987	534894725	8855976	605458883
12000	684621171	224634457	8778524	606173374
12100	439691861	731019573	8891802	666612238
12200	582079505	182608192	8816999	672401649
12300	905335736	913248372	9086896	717327251
12400	927633112	123747266	9252245	63437657
12500	109489569	341249927	11765475	434334282
12600	741651400	615315583	11740197	771981947
12700	584056462	336179424	9490238	86694313
12800	875570797	117622907	9358633	490243472
12900	633354794	309634729	9645908	99157711
13000	78146163	494812036	9573138	772649998
13100	550538302	384240004	9600594	58440013
13200	455521957	560252682	9673387	72432156
13300	820888379	239995734	9791582	835642577
13400	625752051	578684244	9760617	366920073
13500	984709293	657330373	10017386	400933805
13600	158116769	718830305	10107716	660242424
13700	150141940	877184532	10044611	759124769
13800	817725054	15901101	10177582	140199194
13900	690575657	34719454	10261146	550440653
14000	165168396	62642165	10238664	35167675
14100	354610184	403274032	13704106	96110713
14200	492973346	179685719	10483979	13946481
14300	942863671	227530744	10587870	919253264
14400	743087182	273345770	10612132	726028947
14500	371804963	501679030	10757695	989342213
14600	602444079	388275112	10934243	622621789
14700	937593323	372755630	10879903	639642500
14800	75142594	167274680	11008279	585086273
14900	724259061	672669799	11275505	279115838
15000	313904449	875481566	10978027	282414009
